Timestamp,Player_X,Player_Y,Obj1_X,Obj1_Y,Obj2_X,Obj2_Y
19:12:10.553962,115,115,711,115,611,413
19:12:10.568802,115,115,709,115,609,412
19:12:10.633639,115,115,701,115,601,408
19:12:10.748488,115,115,687,115,587,401
19:12:10.848194,115,115,675,115,575,395
19:12:10.914108,115,115,667,115,567,391
19:12:11.013338,115,115,655,115,555,385
19:12:11.049291,115,115,651,115,551,383
19:12:11.098060,115,115,645,115,545,380
19:12:11.148321,115,115,639,115,539,377
19:12:11.198289,115,115,633,115,533,374
19:12:11.233798,115,115,629,115,529,372
19:12:11.298770,115,115,621,115,521,368
19:12:11.348186,115,115,615,115,515,365
19:12:11.414756,115,115,607,115,507,361
19:12:11.479131,115,115,599,115,499,357
19:12:11.578684,115,115,587,115,487,351
19:12:11.678431,115,115,575,115,475,345
19:12:11.743101,115,115,567,115,467,341
19:12:11.794191,115,115,561,115,461,338
19:12:11.843024,115,115,555,115,455,335
19:12:11.928063,115,115,545,115,445,330
19:12:12.029328,115,115,533,115,433,324
19:12:12.143815,115,115,519,115,419,317
19:12:12.243636,115,115,507,115,407,311
19:12:12.293273,115,115,501,115,401,308
19:12:12.343133,115,115,495,115,395,305
19:12:12.394355,115,115,489,115,389,302
19:12:12.459830,115,115,481,115,381,298
19:12:12.524604,115,115,473,115,373,294
19:12:12.589697,115,115,465,115,365,290
19:12:12.784404,115,115,441,115,341,278
19:12:12.993801,115,115,415,115,315,265
19:12:13.028260,105,115,411,115,311,263
19:12:13.128322,75,115,399,115,299,257
19:12:13.178123,60,115,393,115,293,254
19:12:13.244274,40,115,385,115,285,250
19:12:13.538896,35,125,349,115,249,232
19:12:13.588475,35,140,343,115,243,229
19:12:13.638167,35,155,337,115,237,226
19:12:13.688567,35,170,331,115,231,223
19:12:13.738720,35,185,325,115,225,223
19:12:13.804253,35,205,317,119,217,223
19:12:13.838317,35,215,313,121,213,223
19:12:13.889668,35,230,307,124,207,223
19:12:14.039157,35,275,289,133,189,226
19:12:14.103131,35,295,281,137,181,230
19:12:14.137966,35,305,277,139,177,232
19:12:14.254819,35,340,263,146,163,239
19:12:14.368277,40,375,255,153,154,246
19:12:14.499504,80,395,247,167,146,262
19:12:14.634025,120,395,239,183,141,278
19:12:14.733703,150,395,233,195,141,290
19:12:15.064055,250,395,228,235,161,324
19:12:15.113681,265,395,228,241,167,327
19:12:15.128503,270,395,229,243,169,328
19:12:15.178712,285,395,232,249,175,331
19:12:15.263288,310,395,237,259,185,336
19:12:15.313548,325,395,240,265,191,339
19:12:15.364022,340,395,243,271,197,342
19:12:15.428374,360,395,247,277,205,346
19:12:15.478147,375,395,250,280,211,349
19:12:15.494636,380,395,251,281,213,350
19:12:15.544387,395,380,257,284,219,350
19:12:15.608409,415,360,265,288,227,350
19:12:15.708112,445,330,277,292,239,350
19:12:15.858434,490,285,295,292,257,348
19:12:15.908298,505,270,301,292,263,345
19:12:15.974609,525,250,309,292,271,341
19:12:16.224470,580,245,339,292,301,326
19:12:16.289332,580,245,347,292,309,322
19:12:16.354546,580,245,355,292,317,318
19:12:16.518438,630,245,375,292,337,315
19:12:16.684760,680,285,395,292,357,315
19:12:16.733950,690,300,401,292,363,315
19:12:16.798486,690,320,409,292,371,315
19:12:16.848469,690,335,415,292,377,315
19:12:16.898470,690,350,421,292,383,315
19:12:16.913724,690,355,423,292,385,315
19:12:17.013310,690,385,435,297,397,315
19:12:17.048362,690,395,439,299,401,316
19:12:17.097936,690,410,445,302,407,319
19:12:17.113665,690,415,447,303,409,320
19:12:17.178460,690,435,455,307,417,324
19:12:17.194399,690,440,457,308,419,325
19:12:17.244060,690,455,463,311,425,328
19:12:17.294168,690,470,469,314,431,331
19:12:17.328638,690,470,473,316,435,333
19:12:17.379205,685,470,479,319,441,336
19:12:17.429336,670,470,485,322,447,339
19:12:17.494335,650,470,492,326,455,343
19:12:17.608582,615,470,499,334,469,350
19:12:17.823851,550,470,512,360,483,369
19:12:17.873611,535,470,513,366,486,375
19:12:17.988453,500,470,513,380,490,389
19:12:18.003797,495,470,513,382,490,391
19:12:18.054166,480,470,510,388,490,397
19:12:18.103804,465,470,507,394,488,403
19:12:18.204025,435,470,501,404,482,415
19:12:18.288580,410,470,492,409,475,420
19:12:18.633813,325,470,450,430,433,441
19:12:18.698501,325,470,442,434,425,444
19:12:18.749168,325,470,436,437,419,446
19:12:18.798446,325,455,430,437,413,446
19:12:18.864218,325,435,422,437,405,446
19:12:19.028644,325,385,402,431,385,437
19:12:19.078709,325,370,396,428,382,434
19:12:19.128334,325,355,393,425,379,428
19:12:19.178141,325,340,390,420,376,422
19:12:19.228342,325,325,387,414,373,416
19:12:19.278332,325,310,384,408,370,410
19:12:19.328468,325,295,381,402,367,404
19:12:19.393343,325,275,377,394,363,396
19:12:19.477942,325,250,372,384,359,386
19:12:19.528214,335,235,370,378,359,380
19:12:19.628248,365,230,370,366,359,368
19:12:19.678204,380,230,370,360,359,362
19:12:19.728829,395,230,370,354,360,356
19:12:19.793428,415,230,373,346,364,348
19:12:19.843467,430,230,376,340,367,342
19:12:19.908815,450,230,380,332,371,334
19:12:19.958154,465,230,383,326,374,329
19:12:20.023917,485,230,387,322,378,325
19:12:20.089119,505,230,394,318,386,321
19:12:20.138319,520,230,400,315,392,318
19:12:20.238870,530,255,412,309,404,312
19:12:20.523809,610,340,446,306,438,309
19:12:20.573365,625,355,452,307,444,309
19:12:20.622718,640,365,458,310,450,312
19:12:20.688441,660,365,466,314,458,314
19:12:20.808136,670,365,478,315,470,314
19:12:20.844578,670,365,484,317,476,315
19:12:20.894321,670,365,490,319,482,316
19:12:20.943447,670,365,496,320,488,318
19:12:20.978572,670,365,500,321,492,319
19:12:21.058607,670,365,510,324,502,322
19:12:21.239495,630,365,532,333,524,331
19:12:21.289326,615,365,538,336,530,334
19:12:21.354145,595,365,546,340,538,338
19:12:21.483362,585,395,557,351,550,348
19:12:21.549005,585,415,561,359,554,356
19:12:21.599832,585,430,564,365,557,362
19:12:21.664896,585,450,566,373,561,370
